fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec;osszesitett_nev;also_korlat;realtiv_elteres
3d_class6_100_03.csv;FFD_sum;lada;nincs;34;0,0018;FFD_sum_lada;30;0,1333
3d_class6_100_03.csv;FFD_avg;lada;nincs;34;0,0018;FFD_avg_lada;30;0,1333
3d_class6_100_04.csv;FFD_sum;lada;nincs;34;0,0018;FFD_sum_lada;31;0,0968
3d_class2_100_01.csv;FFD_avg;elem;nincs;30;0,0017;FFD_avg_elem;27;0,1111
3d_class2_100_02.csv;FFD_sum;elem;nincs;28;0,0017;FFD_sum_elem;25;0,1200
3d_class2_100_02.csv;FFD_avg;elem;nincs;28;0,0017;FFD_avg_elem;25;0,1200
3d_class2_100_04.csv;FFD_sum;elem;nincs;28;0,0017;FFD_sum_elem;25;0,1200
3d_class2_100_04.csv;FFD_avg;elem;nincs;28;0,0017;FFD_avg_elem;25;0,1200
3d_class2_100_04.csv;FFD_avg;lada;nincs;28;0,0017;FFD_avg_lada;25;0,1200
3d_class6_100_04.csv;FFD_avg;elem;nincs;34;0,0017;FFD_avg_elem;31;0,0968
